Source,Target,Value
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Sansa,Loras,14
Sansa,Lysa,28
Sansa,Margaery,36
Sansa,Marillion,9
Sansa,Myrcella,4
Sansa,Olenna,7
Sansa,Petyr,28
Sansa,Podrick,8
Sansa,Renly,4
Sansa,Rickon,7
Sansa,Robert,5
Sansa,Robert Arryn,6
Sansa,Sandor,6
Sansa,Shae,8
Sansa,Tyrion,77
Shae,Chataya,4
Shae,Varys,8
Shireen,Davos,5
Stannis,Aemon,4
Stannis,Balon,4
Stannis,Davos,32
Stannis,Melisandre,20
Stannis,Renly,15
Stannis,Samwell,13
Tommen,Margaery,5
Tyrion,Balon,4
Tyrion,Bronn,31
Tyrion,Chataya,5
Tyrion,Doran,5
Tyrion,Elia,5
Tyrion,Ellaria,4
Tyrion,Gregor,22
Tyrion,Ilyn,5
Tyrion,Janos,5
Tyrion,Kevan,11
Tyrion,Loras,6
Tyrion,Mace,9
Tyrion,Margaery,7
Tyrion,Meryn,5
Tyrion,Oberyn,25
Tyrion,Petyr,12
Tyrion,Podrick,28
Tyrion,Pycelle,11
Tyrion,Renly,6
Tyrion,Robert,9
Tyrion,Sandor,4
Tyrion,Shae,21
Tyrion,Stannis,6
Tyrion,Varys,18
Tywin,Balon,5
Tywin,Brynden,4
Tywin,Cersei,16
Tywin,Gregor,7
Tywin,Jaime,13
Tywin,Joffrey,13
Tywin,Kevan,14
Tywin,Mace,5
Tywin,Oberyn,6
Tywin,Petyr,4
Tywin,Podrick,5
Tywin,Pycelle,5
Tywin,Robert,11
Tywin,Stannis,15
Tywin,Tommen,4
Tywin,Tyrion,39
Tywin,Val,4
Tywin,Varys,6
Tywin,Walder,4
Val,Dalla,7
Varys,Pycelle,4
Viserys,Rhaegar,7
Viserys,Tyrion,4
Walder,Lothar,12
Walder,Petyr,6
Walder,Roslin,6
Walton,Jaime,10
Ygritte,Qhorin,7
Ygritte,Rattleshirt,9
