,year participation,gallery city,gallery name,,,,,,link
Art Dubai Modern,2017,Lisbon,Perve Galeria,,,,,,<https://www.artdubai.ae/gallery/pervegaleria-2017/>
Art Dubai Modern,2017,Tehran,Shahrivar Gallery,,,,,,<https://www.artdubai.ae/gallery/shahrivargallery-2017/>
Art Dubai Modern,2017,New York / Tehran,Shirin Gallery,,,,,,<https://www.artdubai.ae/gallery/shiringallery-2017/>
Art Dubai Modern,2017,London,TAFETA,,,,,,<https://www.artdubai.ae/gallery/tafeta-2017/>
Art Dubai Modern,2017,Tunis,Le Violon Bleu,,,,,,<https://www.artdubai.ae/gallery/leviolonbleu-2017/>
Art Dubai Modern,2017,Amman,Wadi Finan Art Gallery,,,,,,<https://www.artdubai.ae/gallery/wadifinanartgallery-2017/>
Art Dubai Modern,2017,Beirut,Agial Art Gallery,,,,,,<https://www.artdubai.ae/gallery/agialartgallery-2017-3/>
Art Dubai Modern,2017,Tehran,Aria Gallery,,,,,,<https://www.artdubai.ae/gallery/ariagallery-2017/>
Art Dubai Modern,2017,Cairo,ArtTalks | Egypt,,,,,,<https://www.artdubai.ae/gallery/arttalksegypt-2017/>
Art Dubai Modern,2017,Mumbai / New Dehli / New York,DAG Modern,,,,,,<https://www.artdubai.ae/gallery/dagmodern-2017/>
Art Dubai Modern,2017,Dubai / Tunis,Elmarsa,,,,,,<https://www.artdubai.ae/gallery/elmarsa-2017/>
Art Dubai Modern,2017,London,Grosvenor Gallery,,,,,,<https://www.artdubai.ae/gallery/grosvenor-2017/>
Art Dubai Modern,2017,Jeddah,Hafez Gallery,,,,,,<https://www.artdubai.ae/gallery/hafezgallery-2017/>
Art Dubai Modern,2017,Mumbai,Jhaveri Contemporary,,,,,,<https://www.artdubai.ae/gallery/jhavericontemporary-2017/>
Art Dubai Modern,2017,Ramallah,Gallery One,,,,,,<https://www.artdubai.ae/gallery/galleryone-2017/>
Art Dubai Modern,2017,Lisbon,Perve Galeria,,,,,,<https://www.artdubai.ae/gallery/pervegaleria-2017/>
Art Dubai Modern,2017,Tehran,Shahrivar Gallery,,,,,,<https://www.artdubai.ae/gallery/shahrivargallery-2017/>
Art Dubai Modern,2017,New York / Tehran,Shirin Gallery,,,,,,<https://www.artdubai.ae/gallery/shiringallery-2017/>
Art Dubai Modern,2017,London,TAFETA,,,,,,<https://www.artdubai.ae/gallery/tafeta-2017/>
Art Dubai Modern,2017,Tunis,Le Violon Bleu,,,,,,<https://www.artdubai.ae/gallery/leviolonbleu-2017/>
Art Dubai Modern,2017,Amman,Wadi Finan Art Gallery,,,,,,<https://www.artdubai.ae/gallery/wadifinanartgallery-2017/>
Art Dubai Modern,2018,Beirut,Agial Art Gallery,,,,,,<https://www.artdubai.ae/gallery/agial-art-gallery-modern-2018/>
Art Dubai Modern,2018,Mumbai,Akara Art,,,,,,<https://www.artdubai.ae/gallery/akara-art-2018-modern/>
Art Dubai Modern,2018,Manama,Albareh Art Gallery,,,,,,<https://www.artdubai.ae/gallery/albareh-art-gallery-modern-2018/>
Art Dubai Modern,2018,Tehran,Aria Gallery,,,,,,<https://www.artdubai.ae/gallery/aria-gallery-modern-2018/>
Art Dubai Modern,2018,Tunis,Le Violon Bleu,,,,,,<https://www.artdubai.ae/gallery/le-violon-bleu-modern-2018/>
