section,year participation,gallery city,gallery name,link
Art Dubai Contemporary,2022,New York,Aicon Gallery,<https://www.artdubai.ae/gallery/aicon-gallery-2022/>
Art Dubai Contemporary,2022,Dubai / Venice,AKKA Project,<https://www.artdubai.ae/gallery/akka-project-2022/>
Art Dubai Contemporary,2022,Madrid,Galería Albarrán Bourdais,<https://www.artdubai.ae/gallery/albarran-bourdais-2022/>
Art Dubai Contemporary,2022,Paris / Stockholm,Andréhn-Schiptjenko,<https://www.artdubai.ae/gallery/andrehn-schiptjenko-2022/>
Art Dubai Contemporary,2022,Tbilisi,Gallery ArtBeat,<https://www.artdubai.ae/gallery/galleryartbeat-2022/>
Art Dubai Contemporary,2022,Almaty,Aspan Gallery,<https://www.artdubai.ae/gallery/aspan-2022/>
Art Dubai Contemporary,2022,Jeddah,Athr Gallery,<https://www.artdubai.ae/gallery/athr-2022/>
Art Dubai Contemporary,2022,Dubai,Ayyam Gallery,<https://www.artdubai.ae/gallery/ayyam-gallery-2022/>
Art Dubai Contemporary,2022,Brussels,Ballon Rouge,<https://www.artdubai.ae/gallery/ballon-rouge-2022/>
Art Dubai Contemporary,2022,Beirut,Saleh Barakat Gallery,<https://www.artdubai.ae/gallery/agial-art-gallery-2022-2/>
Art Dubai Contemporary,2022,Bergamo,Thomas Brambilla,<https://www.artdubai.ae/gallery/thomas-brambilla-2022-2/>
Art Dubai Contemporary,2022,Dubai,Carbon 12,<https://www.artdubai.ae/gallery/carbon-12-2022/>
Art Dubai Contemporary,2022,Nairobi,Circle Art Gallery,<https://www.artdubai.ae/gallery/circle-art-gallery-2022/>
Art Dubai Contemporary,2022,Marrakech,Comptoir des Mines Galerie,<https://www.artdubai.ae/gallery/comptoir-des-mines-2022-3/>
Art Dubai Contemporary,2022,Beijing / Havana / Les Moulins,GALLERIA CONTINUA,<https://www.artdubai.ae/gallery/galleria-continua-2022/>
Art Dubai Contemporary,2022,Dubai,Custot Gallery Dubai,<https://www.artdubai.ae/gallery/custotgallerydubai-2022/>
