section,year participation,gallery city,gallery name,link
Art Dubai Contemporary,2024,Milan / Paris,Emanuela Campoli,<https://www.artdubai.ae/gallery/emanuelacampoli/>
Art Dubai Contemporary,2024,New Delhi,Gallery Espace,<https://www.artdubai.ae/gallery/gallery-espace-24/>
Art Dubai Contemporary,2024,Bogota,Galeria Espacio Continuo,<https://www.artdubai.ae/gallery/espacio-continuo-2024/>
Art Dubai Contemporary,2024,New Delhi,Exhibit 320,<https://www.artdubai.ae/gallery/exhibit-320-2024/>
Art Dubai Contemporary,2024,Kolkata / Mumbai,Experimenter,<https://www.artdubai.ae/gallery/experimenter-2024/>
Art Dubai Contemporary,2024,Dubai,Gallery Isabelle,<https://www.artdubai.ae/gallery/gallery-isabelle-van-den-eynde-2024/>
Art Dubai Contemporary,2024,Jakarta / Singapore / Yogyakarta,Gajah Gallery,<https://www.artdubai.ae/gallery/gajah-gallery-2024/>
Art Dubai Contemporary,2024,Dubai,Green Art Gallery,<https://www.artdubai.ae/gallery/green-art-24/>
Art Dubai Contemporary,2024,London,Grosvenor Gallery,<https://www.artdubai.ae/gallery/grosvenor-24/>
Art Dubai Contemporary,2024,Casablanca / Paris,GVCC,<https://www.artdubai.ae/gallery/gvcc-2024/>
Art Dubai Contemporary,2024,Jeddah,Hafez Gallery,<https://www.artdubai.ae/gallery/hafez-gallery-contemporary-2024/>
Art Dubai Contemporary,2024,Dubai / New York,Leila Heller Gallery,<https://www.artdubai.ae/gallery/leila-heller-24/>
Art Dubai Contemporary,2024,Mumbai,Jhaveri Contemporary,<https://www.artdubai.ae/gallery/jhaveri-contemporary-2024/>
Art Dubai Contemporary,2024,Mainz / Venice,Gallery Dr. Dorothea van der Koelen,<https://www.artdubai.ae/gallery/gallery-dr-dorothea-van-der-koelen-2024/>
Art Dubai Contemporary,2024,Vienna,Galerie Krinzinger,<https://www.artdubai.ae/gallery/galerie-krinzinger-2024/>
Art Dubai Contemporary,2024,Dubai,Lawrie Shabibi,<https://www.artdubai.ae/gallery/lawrie-shabibi-2024/>
Art Dubai Contemporary,2024,Lisbon,Madragoa,<https://www.artdubai.ae/gallery/madragoa-24/>
Art Dubai Contemporary,2024,Brussels / Knokke / Zaventem,MARUANI MERCIER,<https://www.artdubai.ae/gallery/maruani-mercier-24/>
Art Dubai Contemporary,2024,Salzburg,Mario Mauroner Contemporary Art,<https://www.artdubai.ae/gallery/mario-mauroner-24/>
Art Dubai Contemporary,2024,London / Turin,Mazzoleni,<https://www.artdubai.ae/gallery/mazzoleni-24/>
Art Dubai Contemporary,2024,Dubai,Meem Gallery,<https://www.artdubai.ae/gallery/meem-gallery-2024/>
Art Dubai Contemporary,2024,Mumbai / New Delhi,NATURE MORTE,<https://www.artdubai.ae/gallery/nature-morte-24/>
Art Dubai Contemporary,2024,Turin,Galleria Franco Noero,<https://www.artdubai.ae/gallery/franco-noero-24/>
Art Dubai Contemporary,2024,Tehran,O Gallery,<https://www.artdubai.ae/gallery/o-gallery-2024/>
Art Dubai Contemporary,2024,Ramallah,Gallery One,<https://www.artdubai.ae/gallery/gallery-one-2024/>
Art Dubai Contemporary,2024,Bologna,P420,<https://www.artdubai.ae/gallery/p420-24/>
Art Dubai Contemporary,2024,Berlin / Milan / Seoul,Peres Projects,<https://www.artdubai.ae/gallery/peres-projects-24/>
Art Dubai Contemporary,2024,Dubai,PERROTIN,<https://www.artdubai.ae/gallery/perrotin-24/>
Art Dubai Contemporary,2024,Turin,Giorgio Persano,<https://www.artdubai.ae/gallery/giorgio-persano-2024/>
Art Dubai Contemporary,2024,Capri / Milan,Plan X,<https://www.artdubai.ae/gallery/planx-24/>
Art Dubai Contemporary,2024,Mumbai,Project 88,<https://www.artdubai.ae/gallery/project-88-2024/>
Art Dubai Contemporary,2024,Several locations,Almine Rech,<https://www.artdubai.ae/gallery/almine-rech-2024-2/>
Art Dubai Contemporary,2024,London,RONCHINI,<https://www.artdubai.ae/gallery/ronchini-2024/>
Art Dubai Contemporary,2024,Vilnius,The Rooster Gallery,<https://www.artdubai.ae/gallery/rooster-gallery-24/>
Art Dubai Contemporary,2024,Istanbul,SANATORIUM,<https://www.artdubai.ae/gallery/sanatorium-24/>
Art Dubai Contemporary,2024,Mahshahr / Tehran,SARAI Gallery,<https://www.artdubai.ae/gallery/sarai-24/>
Art Dubai Contemporary,2024,Colombo,Saskia Fernando Gallery,<https://www.artdubai.ae/gallery/saskia-fernando-gallery-contemporary-2024/>
Art Dubai Contemporary,2024,Beirut / Hamburg,Sfeir-Semler Gallery,<https://www.artdubai.ae/gallery/sfeir-semler-gallery-2024-2/>
Art Dubai Contemporary,2024,New Delhi,Shrine Empire,<https://www.artdubai.ae/gallery/shrine-empire-2024/>
Art Dubai Contemporary,2024,Brussels / Paris,Stems Gallery,<https://www.artdubai.ae/gallery/stems-24/>
Art Dubai Contemporary,2024,Bologna,Galleria Studio G7,<https://www.artdubai.ae/gallery/galleria-studio-g7-24/>
Art Dubai Contemporary,2024,Dubai,Tabari Artspace,<https://www.artdubai.ae/gallery/tabari-24/>
Art Dubai Contemporary,2024,Beirut / Munich,Galerie Tanit,<https://www.artdubai.ae/gallery/galerie-tanit-2024/>
Art Dubai Contemporary,2024,Dubai,The Third Line,<https://www.artdubai.ae/gallery/the-third-line-24/>
Art Dubai Contemporary,2024,New Delhi,Vadehra Art Gallery,<https://www.artdubai.ae/gallery/vadehra-24/>
Art Dubai Contemporary,2024,Kyiv / Miami,Voloshyn Gallery,<https://www.artdubai.ae/gallery/voloshyn-contemporary-2024/>
Art Dubai Contemporary,2024,Singapore,Yeo Workshop,<https://www.artdubai.ae/gallery/yeo-workshop-2024/>
Art Dubai Contemporary,2024,Dubai / Ramallah,Zawyeh Gallery,<https://www.artdubai.ae/gallery/zawyeh-24/>
Art Dubai Contemporary,2024,Dubai / Luxembourg / Paris,Zidoun-Bossuyt Gallery,<https://www.artdubai.ae/gallery/zidoun-bossuyt-24/>
Art Dubai Contemporary,2024,Berlin / Istanbul / Miami,Zilberman,<https://www.artdubai.ae/gallery/zilberman-24/>
Art Dubai Contemporary,2025,New York,Aicon,<https://www.artdubai.ae/gallery/aicon/>
Art Dubai Contemporary,2025,Dubai,Aisha Alabbar Gallery,<https://www.artdubai.ae/gallery/aisha-alabbar-gallery/>
Art Dubai Contemporary,2025,Madrid / Menorca,Albarrán Bourdais,<https://www.artdubai.ae/gallery/galeria-albarran-bourdais/>
Art Dubai Contemporary,2025,Madrid,Sabrina Amrani,<https://www.artdubai.ae/gallery/sabrina-amrani-2025/>
Art Dubai Contemporary,2025,New Delhi,Anant Art Gallery,<https://www.artdubai.ae/gallery/anant-art/>
Art Dubai Contemporary,2025,Paris / Stockholm,Andréhn-Schiptjenko,<https://www.artdubai.ae/gallery/andrehn-schiptjenko/>
Art Dubai Contemporary,2025,AlUla / Jeddah / Riyadh,ATHR,<https://www.artdubai.ae/gallery/athr-2025/>
Art Dubai Contemporary,2025,Dubai,Ayyam Gallery,<https://www.artdubai.ae/gallery/ayyam/>
Art Dubai Contemporary,2025,Beirut,Saleh Barakat Gallery,<https://www.artdubai.ae/gallery/saleh-barakat-gallery/>
Art Dubai Contemporary,2025,Palma de Mallorca / São Paulo,BARÓ Galeria,<https://www.artdubai.ae/gallery/baro-galeria/>
Art Dubai Contemporary,2025,New York,Bortolami,<https://www.artdubai.ae/gallery/bortolami/>
Art Dubai Contemporary,2025,Bergamo,Thomas Brambilla,<https://www.artdubai.ae/gallery/thomas-brambilla/>
Art Dubai Contemporary,2025,Oslo,Galleri Brandstrup,<https://www.artdubai.ae/gallery/galleri-brandstrup/>
Art Dubai Contemporary,2025,Dubai,CARBON 12,<https://www.artdubai.ae/gallery/carbon-12-2025/>
Art Dubai Contemporary,2025,Lisbon / Madrid,Pedro Cera,<https://www.artdubai.ae/gallery/pedro-cera/>
Art Dubai Contemporary,2025,Mumbai,Chemould Prescott Road,<https://www.artdubai.ae/gallery/chemould-prescott-road-2025/>
Art Dubai Contemporary,2025,Marrakech,Comptoir des Mines Galerie,<https://www.artdubai.ae/gallery/comptoir-des-mines-galerie/>
Art Dubai Contemporary,2025,Several locations,Galleria Continua,<https://www.artdubai.ae/gallery/continua/>
Art Dubai Contemporary,2025,Lugano / Milan,Cortesi Gallery,<https://www.artdubai.ae/gallery/cortesi-gallery/>
Art Dubai Contemporary,2025,Tehran / Toronto,Dastan,<https://www.artdubai.ae/gallery/dastan-gallery/>
Art Dubai Contemporary,2025,Istanbul,Dirimart,<https://www.artdubai.ae/gallery/dirimart/>
Art Dubai Contemporary,2025,Shanghai,Don Gallery,<https://www.artdubai.ae/gallery/don-gallery/>
Art Dubai Contemporary,2025,Dubai,Efie Gallery,<https://www.artdubai.ae/gallery/efie-gallery/>
Art Dubai Contemporary,2025,New Delhi,Gallery Espace,<https://www.artdubai.ae/gallery/gallery-espace/>
Art Dubai Contemporary,2025,Kolkata / Mumbai,Experimenter,<https://www.artdubai.ae/gallery/experimenter-2025/>
Art Dubai Contemporary,2025,Helsinki,Galerie Forsblom,<https://www.artdubai.ae/gallery/galerie-forsblom/>
Art Dubai Contemporary,2025,Baku / London,Gazelli Art House,<https://www.artdubai.ae/gallery/gazelli-art-house/>
Art Dubai Contemporary,2025,Dubai,Green Art Gallery,<https://www.artdubai.ae/gallery/green-art/>
Art Dubai Contemporary,2025,London,Grosvenor Gallery,<https://www.artdubai.ae/gallery/grosvenor/>
Art Dubai Contemporary,2025,Lisbon,Cristina Guerra Contemporary Art,<https://www.artdubai.ae/gallery/cristina-guerra/>
Art Dubai Contemporary,2025,Casablanca / Paris,GVCC,<https://www.artdubai.ae/gallery/gvcc-2025/>
Art Dubai Contemporary,2025,Jeddah,Hafez Gallery,<https://www.artdubai.ae/gallery/hafez/>
Art Dubai Contemporary,2025,Dubai / New York,Leila Heller Gallery,<https://www.artdubai.ae/gallery/leila-heller/>
Art Dubai Contemporary,2025,Paris,Iragui,<https://www.artdubai.ae/gallery/iragui/>
Art Dubai Contemporary,2025,Dubai,Gallery Isabelle,<https://www.artdubai.ae/gallery/gallery-isabelle/>
Art Dubai Contemporary,2025,Mumbai,Jhaveri Contemporary,<https://www.artdubai.ae/gallery/jhaveri-contemporary-2025/>
Art Dubai Contemporary,2025,Prague,Karpuchina Gallery,<https://www.artdubai.ae/gallery/karpuchina/>
Art Dubai Contemporary,2025,Bangkok / Kuala Lumpur / Singapore,Richard Koh Fine Art,<https://www.artdubai.ae/gallery/richard-koh-fine-art/>
Art Dubai Contemporary,2025,Vienna,Galerie Krinzinger,<https://www.artdubai.ae/gallery/krinzinger/>
Art Dubai Contemporary,2025,Casablanca / Marrakech,La Galerie 38,<https://www.artdubai.ae/gallery/la-galerie-38/>
Art Dubai Contemporary,2025,New Delhi,LATITUDE 28,<https://www.artdubai.ae/gallery/latitude-28-2025/>
Art Dubai Contemporary,2025,Dubai,Lawrie Shabibi,<https://www.artdubai.ae/gallery/lawrie-shabibi-2025/>
Art Dubai Contemporary,2025,Dubai,Meem Gallery,<https://www.artdubai.ae/gallery/meem-contemporary/>
Art Dubai Contemporary,2025,Singapore / Tokyo,Mizuma Art Gallery,<https://www.artdubai.ae/gallery/mizuma-art-gallery/>
Art Dubai Contemporary,2025,Madrid,Galería MPA,<https://www.artdubai.ae/gallery/galeria-mpa/>
Art Dubai Contemporary,2025,Dubai / Paris,NIKA Project Space,<https://www.artdubai.ae/gallery/nika-project-space/>
Art Dubai Contemporary,2025,Turin,Galleria Franco Noero,<https://www.artdubai.ae/gallery/franco-noero/>
Art Dubai Contemporary,2025,Tehran,O Gallery,<https://www.artdubai.ae/gallery/o-gallery/>
Art Dubai Contemporary,2025,Bologna,P420,<https://www.artdubai.ae/gallery/p420/>
Art Dubai Contemporary,2025,Berlin / Milan / Seoul,Peres Projects,<https://www.artdubai.ae/gallery/peres-projects/>
Art Dubai Contemporary,2025,Several locations,Perrotin,<https://www.artdubai.ae/gallery/perrotin/>
Art Dubai Contemporary,2025,Capri / Milan,Plan X,<https://www.artdubai.ae/gallery/plan-x/>
Art Dubai Contemporary,2025,Mumbai,Project 88,<https://www.artdubai.ae/gallery/project88/>
Art Dubai Contemporary,2025,Several locations,Almine Rech,<https://www.artdubai.ae/gallery/almine-rech/>
Art Dubai Contemporary,2025,Mexico City,Galería RGR,<https://www.artdubai.ae/gallery/galeria-rgr/>
Art Dubai Contemporary,2025,London,Ronchini Gallery,<https://www.artdubai.ae/gallery/ronchini-gallery/>
Art Dubai Contemporary,2025,Vilnius,The Rooster Gallery,<https://www.artdubai.ae/gallery/rooster-gallery/>
Art Dubai Contemporary,2025,London / New York / Rome,Richard Saltoun,<https://www.artdubai.ae/gallery/richard-saltoun-gallery/>
Art Dubai Contemporary,2025,Istanbul,SANATORIUM,<https://www.artdubai.ae/gallery/sanatorium-2025/>
Art Dubai Contemporary,2025,London / Mahshahr / Tehran,SARAI Gallery,<https://www.artdubai.ae/gallery/sarai-gallery/>
Art Dubai Contemporary,2025,Beirut / Hamburg,Sfeir-Semler Gallery,<https://www.artdubai.ae/gallery/sfeir-semler-gallery/>
Art Dubai Contemporary,2025,New Delhi,Shrine Empire,<https://www.artdubai.ae/gallery/shrine-empire/>
Art Dubai Contemporary,2025,Bologna,Galleria Studio G7,<https://www.artdubai.ae/gallery/galleria-studio-g7/>
Art Dubai Contemporary,2025,Dubai,Tabari Artspace,<https://www.artdubai.ae/gallery/tabari-artspace/>
Art Dubai Contemporary,2025,Dubai,The Third Line,<https://www.artdubai.ae/gallery/the-third-line-2025/>
Art Dubai Contemporary,2025,New Delhi,Threshold Art Gallery,<https://www.artdubai.ae/gallery/threshold-art-gallery/>
Art Dubai Contemporary,2025,London,Vigo,<https://www.artdubai.ae/gallery/vigo/>
Art Dubai Contemporary,2025,Dubai,Waddington Custot,<https://www.artdubai.ae/gallery/waddington-custot/>
Art Dubai Contemporary,2025,Tbilisi,The Why Not Gallery,<https://www.artdubai.ae/gallery/the-why-not-gallery/>
Art Dubai Contemporary,2025,Tbilisi,Window Project,<https://www.artdubai.ae/gallery/window-project/>
Art Dubai Contemporary,2025,Istanbul,x-ist,<https://www.artdubai.ae/gallery/xist/>
Art Dubai Contemporary,2025,Dubai / Ramallah,Zawyeh Gallery,<https://www.artdubai.ae/gallery/zawyeh/>
