airport_id,city,name,latitude,longitude,country,iata,icao,altitude,altitude,timezone,dst,tz
214,Illizi,Illizi Takhamalt Airport,26.7234993,8.622650146,Algeria,VVZ,DAAP,1778,1,N,Africa/Algiers,airport
244,Zarzaitine,In Aménas Airport,28.05150032,9.642910004,Algeria,IAM,DAUZ,1847,1,N,Africa/Algiers,airport
239,In Salah,In Salah Airport,27.25099945,2.512020111,Algeria,INZ,DAUI,896,1,N,Africa/Algiers,airport
217,Jijel,Jijel Ferhat Abbas Airport,36.79510117,5.87361002,Algeria,GJL,DAAV,36,1,N,Africa/Algiers,airport
241,Laghouat,Laghouat Airport,33.76440048,2.928339958,Algeria,LOO,DAUL,2510,1,N,Africa/Algiers,airport
218,Mecheria,Mecheria Airport,33.53590012,-0.242353007,Algeria,\N,DAAY,3855,1,N,Africa/Algiers,airport
221,Constantine,Mohamed Boudiaf International Airport,36.27600098,6.620389938,Algeria,CZL,DABC,2265,1,N,Africa/Algiers,airport
237,Ghardaia,Noumérat - Moufdi Zakaria Airport,32.38410187,3.79411006,Algeria,GHA,DAUG,1512,1,N,Africa/Algiers,airport
238,Hassi Messaoud,Oued Irara Airport,31.67300034,6.140439987,Algeria,HME,DAUH,463,1,N,Africa/Algiers,airport
213,Reggan,Reggane Airport,26.71010017,0.285647005,Algeria,\N,DAAN,955,1,N,Africa/Algiers,airport
219,Relizane,Relizane Airport,35.75220108,0.626272023,Algeria,\N,DAAZ,282,1,N,Africa/Algiers,airport
232,Sidi Bel Abbes,Sidi Bel Abbes Airport,35.17179871,-0.593275011,Algeria,\N,DAOS,1614,1,N,Africa/Algiers,airport
209,Bejaja,Soummam Airport,36.7120018,5.069920063,Algeria,BJA,DAAE,20,1,N,Africa/Algiers,airport
229,Oran,Tafaraoui Airport,35.54240036,-0.532278001,Algeria,TAF,DAOL,367,1,N,Africa/Algiers,airport
242,Timimoun,Timimoun Airport,29.2371006,0.276033014,Algeria,TMX,DAUT,1027,1,N,Africa/Algiers,airport
227,Tindouf,Tindouf Airport,27.7003994,-8.167099953,Algeria,TIN,DAOF,1453,1,N,Africa/Algiers,airport
234,Adrar,Touat Cheikh Sidi Mohamed Belkebir Airport,27.83760071,-0.186414003,Algeria,AZR,DAUA,919,1,N,Africa/Algiers,airport
240,Touggourt,Touggourt Sidi Madhi Airport,33.06779861,6.088669777,Algeria,TGR,DAUK,279,1,N,Africa/Algiers,airport
7408,Djelfa,Tsletsi Airport,34.6657,3.351,Algeria,QDJ,DAFI,3753,1,U,Africa/Algiers,airport
230,Tlemcen,Zenata – Messali El Hadj Airport,35.01670074,-1.450000048,Algeria,TLM,DAON,814,1,N,Africa/Algiers,airport
7627,Fiti\\'uta,Fitiuta Airport,-14.2172,-169.425003,American Samoa,FTI,NSFQ,110,-11,U,Pacific/Pago_Pago,airport
1970,Pago Pago,Pago Pago International Airport,-14.33100033,-170.7100067,American Samoa,PPG,NSTU,32,-11,U,Pacific/Pago_Pago,airport
945,Benguela,Benguela Airport,-12.60900021,13.40369987,Angola,BUG,FNBG,118,1,N,Africa/Luanda,airport
946,Cabinda,Cabinda Airport,-5.596990108,12.18840027,Angola,CAB,FNCA,66,1,N,Africa/Luanda,airport
5630,Catumbela,Catumbela Airport,-12.4792,13.4869,Angola,CBT,FNCT,23,1,N,Africa/Luanda,airport
5631,Dundo,Dundo Airport,-7.400889874,20.81850052,Angola,DUE,FNDU,2451,1,N,Africa/Luanda,airport
