lumbung membersartists,country,venue,"type  (individual, collective,)","status  (invited artist,guest artist, guest collaborator)",number of guests,invited by / invited as part of,comments/ subproject,website,role (harvester),guests
Rim Mejdi,,,individual,guest artist,,LE 18,From our wider circle,,,
Sara Frikech,,,individual,guest artist,,LE 18,From our wider circle,,,
Sofia Fahli,,,individual,guest artist,,LE 18,From our wider circle,,,
Soufiane Lakrak,,,individual,guest artist,,LE 18,From our wider circle,,,
Tamo Chiker,,,individual,guest artist,,LE 18,From our wider circle,,,
Tekchbila,,,individual,guest artist,,LE 18,From our wider circle,,,
Toufiq Ennouri,,,individual,guest artist,,LE 18,From our wider circle,,,
Touda Bouanani,,,individual,guest artist,,LE 18,From our wider circle,,,
Troupe Asnimer,,,individual,guest artist,,LE 18,From our wider circle,,,
Troupe Cheikh Hammou,,,individual,guest artist,,LE 18,From our wider circle,,,
"Untitled duo (Soukaina Aboulaoula, Yvon Langué)",,,collective,guest artist,,LE 18,From our wider circle,,,
Yasmine Benabdallah,,,individual,guest artist,,LE 18,From our wider circle,,,
Yassine Rachidi,,,individual,guest artist,,LE 18,From our wider circle,,,
Zakaria Alilech,,,individual,guest artist,,LE 18,From our wider circle,,,
Zakia Kadiri,,,individual,guest artist,,LE 18,From our wider circle,,,
Fehras Publishing Practices,Germany,Hafenstrasse 76,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/fehras-publishing-practices/>,,
Alex Viteri Arturo,,,individual,guest artist,,Fehras Publishing Practices,,,,
Catalina Fernandez,,,individual,guest artist,,Fehras Publishing Practices,,,,
Cécile Perrot,,,individual,guest artist,,Fehras Publishing Practices,,,,
Charline Tsidie Tezangue,,,individual,guest artist,,Fehras Publishing Practices,,,,
Cornelia Herfurtner,,,individual,guest artist,,Fehras Publishing Practices,,,,
Ed Hichens,,,individual,guest artist,,Fehras Publishing Practices,,,,
Erdem Şentürk,,,individual,guest artist,,Fehras Publishing Practices,,,,
Eren Selin Akosman-Yildiz,,,individual,guest artist,,Fehras Publishing Practices,,,,
Erwan Dambrine,,,individual,guest artist,,Fehras Publishing Practices,,,,
Eyad Houssami,,,individual,guest artist,,Fehras Publishing Practices,,,,
Fadwa Merkhan,,,individual,guest artist,,Fehras Publishing Practices,,,,
Hagen Verlerger,,,individual,guest artist,,Fehras Publishing Practices,,,,
Hana Copic,,,individual,guest artist,,Fehras Publishing Practices,,,,
Heidi Erickson,,,individual,guest artist,,Fehras Publishing Practices,,,,
Julian Brimmers,,,individual,guest artist,,Fehras Publishing Practices,,,,
Lan Nguyen,,,individual,guest artist,,Fehras Publishing Practices,,,,
Marei Loellmann,,,individual,guest artist,,Fehras Publishing Practices,,,,
Martyna Marić-Barhanović,,,individual,guest artist,,Fehras Publishing Practices,,,,
Merve Celikyurt,,,individual,guest artist,,Fehras Publishing Practices,,,,
Nancy Nasr Al-Deen,,,individual,guest artist,,Fehras Publishing Practices,,,,
Naom Gorbat,,,individual,guest artist,,Fehras Publishing Practices,,,,
Nazila Karimy,,,individual,guest artist,,Fehras Publishing Practices,,,,
Peimaneh Yaghoobifarah,,,individual,guest artist,,Fehras Publishing Practices,,,,
Rasha Qass Yousef,,,individual,guest artist,,Fehras Publishing Practices,,,,
Rayya Badran,,,individual,guest artist,,Fehras Publishing Practices,,,,
Sina Ahmadi,,,individual,guest artist,,Fehras Publishing Practices,,,,
Tamir Shmeltzer Frenkel Lederberg,,,individual,guest artist,,Fehras Publishing Practices,,,,
Teodora Tabacki,,,individual,guest artist,,Fehras Publishing Practices,,,,
Wolfgang Schlegel,,,individual,guest artist,,Fehras Publishing Practices,,,,
Yuyu Elmi,,,individual,guest artist,,Fehras Publishing Practices,,,,
Zekeriya Kasaboglu,,,individual,guest artist,,Fehras Publishing Practices,,,,
Komîna Fîlm a Rojava,Syria,Fridericianum / Gloria-Kino,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/komina-film-a-rojava/>,,
Mohammad Haman,,,individual,guest artist,,Komîna Fîlm a Rojava,,,,
Abdi Hussien Ibrahim,,,individual,guest artist,,Komîna Fîlm a Rojava,,,,
Hamo Mahmoud,,,individual,guest artist,,Komîna Fîlm a Rojava,,,,
Mohammad Sevinaz,,,individual,guest artist,,Komîna Fîlm a Rojava,,,,
Hinde Shero,,,individual,guest artist,,Komîna Fîlm a Rojava,,,,
yasmine eid-sabbagh,Palestine,Hafenstrasse 76,individual,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/yasmine-eid-sabbagh/>,,
Ahmad al-Khalil,,,individual,guest artist,,yasmine eid-sabbagh,,,,
Ahmed El-Faour,,,individual,guest artist,,yasmine eid-sabbagh,,,,
Ali al-Ali,,,individual,guest artist,,yasmine eid-sabbagh,,,,
Ben Pelé,,,individual,guest artist,,yasmine eid-sabbagh,,,,
Fatmeh Soleiman,,,individual,guest artist,,yasmine eid-sabbagh,,,,
Hamada El-Joumaa,,,individual,guest artist,,yasmine eid-sabbagh,,,,
Khawla Khalaf,,,individual,guest artist,,yasmine eid-sabbagh,,,,
Maya Zebdawi,,,individual,guest artist,,yasmine eid-sabbagh,,,,
Mela Dávila Freire,,,individual,guest artist,,yasmine eid-sabbagh,,,,
Nailé Sosa Aragón,,,individual,guest artist,,yasmine eid-sabbagh,,,,
Siwar Kraytem,,,individual,guest artist,,yasmine eid-sabbagh,,,,
Wasim Said,,,individual,guest artist,,yasmine eid-sabbagh,,,,
Yasser Ibrahim,,,individual,guest artist,,yasmine eid-sabbagh,,,,
Cao Minghao & Chen Jianjun,China,Hafenstrasse 76 / Karlswiese (Karlsaue),collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/cao-minghao-chen-jianjun/>,,
Chi Xinan,,,individual,guest artist,,Cao Minghao & Chen Jianjun,,,,
FAN Xiao,,,individual,guest artist,,Cao Minghao & Chen Jianjun,,,,
Jianjun Chen,,,individual,guest artist,,Cao Minghao & Chen Jianjun,,,,
Kathryn Weir,,,individual,guest artist,,Cao Minghao & Chen Jianjun,,,,
Konchok Palsang,,,individual,guest artist,,Cao Minghao & Chen Jianjun,,,,
Laura Ning,,,individual,guest artist,,Cao Minghao & Chen Jianjun,,,,
Liu Man-kun,,,individual,guest artist,,Cao Minghao & Chen Jianjun,,,,
Minghao Cao,,,individual,guest artist,,Cao Minghao & Chen Jianjun,,,,
Hai REN,,,individual,guest artist,,Cao Minghao & Chen Jianjun,,,,
Tao Gu,,,individual,guest artist,,Cao Minghao & Chen Jianjun,,,,
Wan Li,,,individual,guest artist,,Cao Minghao & Chen Jianjun,,,,
Yang Linqing,,,individual,guest artist,,Cao Minghao & Chen Jianjun,,,,
Yin Chun,,,individual,guest artist,,Cao Minghao & Chen Jianjun,,,,
Mi You,,,individual,guest artist,,Cao Minghao & Chen Jianjun,,,,
Yu Jiahua,,,individual,guest artist,,Cao Minghao & Chen Jianjun,,,,
Yu Biao,,,individual,guest artist,,Cao Minghao & Chen Jianjun,,,,
Zhang Xuehua,,,individual,guest artist,,Cao Minghao & Chen Jianjun,,,,
Zhou Yufei,,,individual,guest artist,,Cao Minghao & Chen Jianjun,,,,
Zhou Lai,,,individual,guest artist,,Cao Minghao & Chen Jianjun,,,,
Zhu Dan,,,individual,guest artist,,Cao Minghao & Chen Jianjun,,,,
Saodat Ismailova,Uzbekistan,Fridericianum,individual,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/saodat-ismailova/>,,
Aïda Adilbek,,,individual,guest artist,,Saodat Ismailova,,,,
Benazir Ibraimova,,,individual,guest artist,,Saodat Ismailova,,,,
Dana Iskakova,,,individual,guest artist,,Saodat Ismailova,,,,
Munis Jurayeva,,,individual,guest artist,,Saodat Ismailova,,,,
Tokzhan Karatai,,,individual,guest artist,,Saodat Ismailova,,,,
Nazira Karimi,,,individual,guest artist,,Saodat Ismailova,,,,
Daria Kim,,,individual,guest artist,,Saodat Ismailova,,,,
Jazgul Madazimova,,,individual,guest artist,,Saodat Ismailova,,,,
Zumrad Mirzalieva,,,individual,guest artist,,Saodat Ismailova,,,,
Tillaniso Nuregdi,,,individual,guest artist,,Saodat Ismailova,,,,
Daria Nurtaza,,,individual,guest artist,,Saodat Ismailova,,,,
Intizor Otaniyozova,,,individual,guest artist,,Saodat Ismailova,,,,
Aziza Pulatova,,,individual,guest artist,,Saodat Ismailova,,,,
Diana Rakhmanova,,,individual,guest artist,,Saodat Ismailova,,,,
Dilda Ramazan,,,individual,guest artist,,Saodat Ismailova,,,,
Mukhiddin Risqiyev,,,individual,guest artist,,Saodat Ismailova,,,,
Odina Risqiyeva,,,individual,guest artist,,Saodat Ismailova,,,,
Diana U,,,individual,guest artist,,Saodat Ismailova,,,,
Madina Zholdybekova,,,individual,guest artist,,Saodat Ismailova,,,,
Richard Bell,Australia,Fridericianum / Friedrichsplatz / Hafenstrasse 76,individual,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/richard-bell/>,,
Alethea Beetson,,,individual,guest artist,,Richard Bell,,,,
Sutapa Biswas,,,individual,guest artist,,Richard Bell,,,,
Tania Bruguera,,,individual,guest artist,,Richard Bell,,,,
Digi Youth Arts,,,collective,guest artist,,Richard Bell,,,,
Dave Fernando,,,individual,guest artist,,Richard Bell,,,,
Gary Foley,,,individual,guest artist,,Richard Bell,,,,
Sylvia McAdam,,,individual,guest artist,,Richard Bell,,,,
Alan Michaelson,,,individual,guest artist,,Richard Bell,,,,
Josh Milani,,,individual,guest artist,,Richard Bell,,,,
Wanda Nanibush,,,individual,guest artist,,Richard Bell,,,,
The Black Archives,,,collective,guest artist,,Richard Bell,,,,
Vivian Ziherl,,,individual,guest artist,,Richard Bell,,,,
Safdar Ahmed,Australia,"
Stadtmuseum Kassel",individual,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/safdar-ahmed/>,,
Alia Ardon,,,individual,guest artist,,Safdar Ahmed,,,,
Can Yalçınkaya,,,individual,guest artist,,Safdar Ahmed,,,,
Safdar Ahmed,,,individual,guest artist,,Safdar Ahmed,,,,
Kian Dayani,,,individual,guest artist,,Safdar Ahmed,,,,
Susie Hurley,,,individual,guest artist,,Safdar Ahmed,,,,
Michal Imielski,,,individual,guest artist,,Safdar Ahmed,,,,
Murtaza Ali Jafari,,,individual,guest artist,,Safdar Ahmed,,,,
Kazem Kazemi,,,individual,guest artist,,Safdar Ahmed,,,,
Zeina Laali,,,individual,guest artist,,Safdar Ahmed,,,,
Zeinab Mir,,,individual,guest artist,,Safdar Ahmed,,,,
MN,,,collective,guest artist,,Safdar Ahmed,,,,
Mona Moradveisi,,,individual,guest artist,,Safdar Ahmed,,,,
Susie Nelson,,,individual,guest artist,,Safdar Ahmed,,,,
Saeed,,,individual,guest artist,,Safdar Ahmed,,,,
Miream Salameh,,,individual,guest artist,,Safdar Ahmed,,,,
Tabz A,,,individual,guest artist,,Safdar Ahmed,,,,
MADEYOULOOK,South Africa,Hotel Hessenland,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/madeyoulook/>,,
Ato Moiloa,,,individual,guest artist,,MADEYOULOOK,,,,
Robyn Cook,,,individual,guest artist,,MADEYOULOOK,,,,
Vallery Groenewald,,,individual,guest artist,,MADEYOULOOK,,,,
Nozuko Mapoma,,,individual,guest artist,,MADEYOULOOK,,,,
Molemo Moiloa,,,individual,guest artist,,MADEYOULOOK,,,,
Nare Mokgotho,,,individual,guest artist,,MADEYOULOOK,,,,
Joseph Mothupi,,,individual,guest artist,,MADEYOULOOK,,,,
Joao Orecchia,,,individual,guest artist,,MADEYOULOOK,,,,
Modise Sekgothe,,,individual,guest artist,,MADEYOULOOK,,,,
Marwa Arsanios,Syria,Hafenstrasse 76,individual,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/marwa-arsanios/>,,
Amani Dagher,,,individual,guest artist,,Marwa Arsanios,,,,
Maya Dghaidi,,,individual,guest artist,,Marwa Arsanios,,,,
Dr. Joanna Doummar,,,individual,guest artist,,Marwa Arsanios,,,,
Katrin Ebersohn,,,individual,guest artist,,Marwa Arsanios,,,,
Mazen Hachem,,,individual,guest artist,,Marwa Arsanios,,,,
Families of Mamlouk and Mohamad,,,individual,guest artist,,Marwa Arsanios,,,,
Nancy Nasseredine,,,individual,guest artist,,Marwa Arsanios,,,,
Wissam Saade,,,individual,guest artist,,Marwa Arsanios,,,,
Wael Yammine,,,individual,guest artist,,Marwa Arsanios,,,,
Dan Perjovschi,Rumania,Fridericianum / Rainer-Dierichs-Platz,individual,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/dan-perjovschi/>,,
The Question of Funding,Palestine,WH22,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/the-question-of-funding/>,,
Adele Jarrar,,,individual,guest artist,,The Question of Funding,Eltiqa exhibition research,,,
Mohammad Amal Nazeeh,,,individual,guest artist,,The Question of Funding,Eltiqa exhibition research,,,
Nicola Gray,,,individual,guest artist,,The Question of Funding,Eltiqa exhibition research,,,
Shayma Al Bess,,,individual,guest artist,,The Question of Funding,Eltiqa exhibition research,,,
Siwar Kraitem,,,individual,guest artist,,The Question of Funding,Eltiqa exhibition research,,,
Ziad Haj Ali,,,individual,guest artist,,The Question of Funding,Eltiqa exhibition research,,,
Dina Matter,,,individual,guest artist,,The Question of Funding,Eltiqa Exhibition artists,,,
Mohammad Al Hawajri,,,individual,guest artist,,The Question of Funding,Eltiqa Exhibition artists,,,
Mohammed Abusal,,,individual,guest artist,,The Question of Funding,Eltiqa Exhibition artists,,,
Raed Issa,,,individual,guest artist,,The Question of Funding,Eltiqa Exhibition artists,,,
Rauof Al Ajouri,,,individual,guest artist,,The Question of Funding,Eltiqa Exhibition artists,,,
Hadeel Badarni,,,individual,guest artist,,The Question of Funding,Childern books,,,
Hassan Zahredddine,,,individual,guest artist,,The Question of Funding,Childern books,,,
Hatem Imam,,,individual,guest artist,,The Question of Funding,Childern books,,,
Larissa Bender,,,individual,guest artist,,The Question of Funding,Childern books,,,
Mona Kareem,,,individual,guest artist,,The Question of Funding,Childern books,,,
Omar Layza,,,individual,guest artist,,The Question of Funding,Childern books,,,
Sahar Abdallah,,,individual,guest artist,,The Question of Funding,Childern books,,,
Samir Skayni,,,individual,guest artist,,The Question of Funding,Childern books,,,
Studio Safar,,,individual,guest artist,,The Question of Funding,Childern books,,,
Yousri Al Amir,,,individual,guest artist,,The Question of Funding,Childern books,,,
Abdelwahab Zoabi,,,individual,guest artist,,The Question of Funding,Dayra,,,
Basel Nasr,,,individual,guest artist,,The Question of Funding,Dayra,,,
Ibrahim Owais,,,individual,guest artist,,The Question of Funding,Dayra,,,
Mutsaem Jobran,,,individual,guest artist,,The Question of Funding,Dayra,,,
Qusai Jode,,,individual,guest artist,,The Question of Funding,Dayra,,,
Sami Khaldi,,,individual,guest artist,,The Question of Funding,Dayra,,,
Shurouq Qawariq,,,individual,guest artist,,The Question of Funding,Dayra,,,
Studio Kawakeb,,,collective,guest artist,,The Question of Funding,Dayra,,,
Arine Aprahamian,,,individual,guest artist,,The Question of Funding,Website,,,
Farah Fayyad,,,individual,guest artist,,The Question of Funding,Website,,,
Hussein Nassereddine,,,individual,guest artist,,The Question of Funding,Website,,,
Akef Darawsheh,,,individual,guest artist,,The Question of Funding,How to work together,,,
Fadya Salfiti,,,individual,guest artist,,The Question of Funding,How to work together,,,
Fayrouz Sharqawi,,,individual,guest artist,,The Question of Funding,How to work together,,,
Hadeel Yaqoub,,,individual,guest artist,,The Question of Funding,How to work together,,,
Hussam Ghosheh,,,individual,guest artist,,The Question of Funding,How to work together,,,
Iman Hammouri,,,individual,guest artist,,The Question of Funding,How to work together,,,
Lina Isma’il,,,individual,guest artist,,The Question of Funding,How to work together,,,
Majid Doghlas,,,individual,guest artist,,The Question of Funding,How to work together,,,
Nisreen Mazawi,,,individual,guest artist,,The Question of Funding,How to work together,,,
Rami Massad,,,individual,guest artist,,The Question of Funding,How to work together,,,
Raya Ziada,,,individual,guest artist,,The Question of Funding,How to work together,,,
Collective of collectives based in Kassel,,,collective,guest artist,,The Question of Funding,AKA Network,,,
Daniel Aguilar Ruvalcaba,,,individual,guest artist,,The Question of Funding,Baskom and Jam on Jam on Jam on Jam,,,
Diana Cantarey,,,individual,guest artist,,The Question of Funding,Baskom and Jam on Jam on Jam on Jam,,,
Julian Abraham,,,individual,guest artist,,The Question of Funding,Baskom and Jam on Jam on Jam on Jam,,,
özgür atlagan,,,individual,guest artist,,The Question of Funding,Baskom and Jam on Jam on Jam on Jam,,,
Simnikiwe Buhlungu,,,individual,guest artist,,The Question of Funding,Baskom and Jam on Jam on Jam on Jam,,,
Sungeun Lee,,,individual,guest artist,,The Question of Funding,Baskom and Jam on Jam on Jam on Jam,,,
Amany Khalifa,,,individual,guest artist,,The Question of Funding,Question of Funding,,,
Lara Khaldi,,,individual,guest artist,,The Question of Funding,Question of Funding,,,
Noor Abed,,,individual,guest artist,,The Question of Funding,Question of Funding,,,
Rayya Badran,,,individual,guest artist,,The Question of Funding,Question of Funding,,,
Yazan Khalili,,,individual,guest artist,,The Question of Funding,Question of Funding,,,
The Black Archives,Netherlands,Fridericianum,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/the-black-archives/>,,
Brian Elstak,,,individual,guest artist,,The Black Archives,,,,
Dion Rosina,,,individual,guest artist,,The Black Archives,,,,
Iris Kensmil,,,individual,guest artist,,The Black Archives,,,,
Jaasir Linger,,,individual,guest artist,,The Black Archives,,,,
Jessica de Abreu,,,individual,guest artist,,The Black Archives,,,,
Mitchell Esajas,,,individual,guest artist,,The Black Archives,,,,
Raul Balai,,,individual,guest artist,,The Black Archives,,,,
Rossel Chaslie,,,individual,guest artist,,The Black Archives,,,,
Serana Angelista,,,individual,guest artist,,The Black Archives,,,,
Serigrafistas queer,Argentina,Sandershaus/Haferkakaofabrik,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/serigrafistas-queer/>,,
Cecilia Campos,,,individual,guest artist,,Serigrafistas queer,,,,
Ana Carolina Fernández Alonso,,,individual,guest artist,,Serigrafistas queer,,,,
Mariela Gouiric,,,individual,guest artist,,Serigrafistas queer,,,,
Guillermina Mongan,,,individual,guest artist,,Serigrafistas queer,,,,
Murillo,,,individual,guest artist,,Serigrafistas queer,,,,
Victoria Musotto Delrieux,,,individual,guest artist,,Serigrafistas queer,,,,
Mariela Paula Scafati,,,individual,guest artist,,Serigrafistas queer,,,,
Moyi Schwartzer,,,individual,guest artist,,Serigrafistas queer,,,,
Pınar Ögrenci,Turkey,Hessisches Landesmuseum,individual,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/pinar-oegrenci/>,,
Ayşe Dorak,,,individual,guest artist,,Pınar Ögrenci,,,,
Didare İşleyen,,,individual,guest artist,,Pınar Ögrenci,,,,
Nuriye İşleyen,,,individual,guest artist,,Pınar Ögrenci,,,,
Neşe Polat,,,individual,guest artist,,Pınar Ögrenci,,,,
Hamja Ahsan,UK,documenta Halle / Fridericianum / Grimmwelt Kassel / Hafenstrasse 76 /  Hübner areal / Museum for Sepulchral Culture / WH22,individual,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/hamja-ahsan/>,,
Zahedi Abbas,,,individual,guest artist,,Hamja Ahsan,,,,
Uddin Ala,,,individual,guest artist,,Hamja Ahsan,,,,
Bullivant Cerie,,,individual,guest artist,,Hamja Ahsan,,,,
Yusuf-Pankhurst Hodan,,,individual,guest artist,,Hamja Ahsan,,,,
Dawud Nadeem,,,individual,guest artist,,Hamja Ahsan,,,,
Barylo William,,,individual,guest artist,,Hamja Ahsan,,,,
OFF-Biennale Budapest,Hungary,Fridericianum / Bootsverleih Ahoi,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/off-biennale-budapest/>,,
Nikolett Erőss,,,individual,guest artist,,OFF-Biennale Budapest,OFF-Biennale Core Team-Curators,,,
Eszter Lázár,,,individual,guest artist,,OFF-Biennale Budapest,OFF-Biennale Core Team-Curators,,,
Hajnalka Somogyi,,,individual,guest artist,,OFF-Biennale Budapest,OFF-Biennale Core Team-Curators,,,
Eszter Szakács,,,individual,guest artist,,OFF-Biennale Budapest,OFF-Biennale Core Team-Curators,,,
Borbála Szalai,,,individual,guest artist,,OFF-Biennale Budapest,OFF-Biennale Core Team-Curators,,,
Katalin Székely,,,individual,guest artist,,OFF-Biennale Budapest,OFF-Biennale Core Team-Curators,,,
András Bognár,,,individual,guest artist,,OFF-Biennale Budapest,OFF-Biennale Core Team-Staff,,,
Dina Darabos,,,individual,guest artist,,OFF-Biennale Budapest,OFF-Biennale Core Team-Staff,,,
Dominika Szabó,,,individual,guest artist,,OFF-Biennale Budapest,OFF-Biennale Core Team-Staff,,,
Szabolcs Vida,,,individual,guest artist,,OFF-Biennale Budapest,OFF-Biennale Core Team-Staff,,,
"Architecture Uncomfortable Workshop (Dénes Emil Ghyczy, Lukács Szederkényi)",,,collective,guest artist,,OFF-Biennale Budapest,What ifs and why nots: OFF-Playground artists,,,
Ádám Kokesch,,,individual,guest artist,,OFF-Biennale Budapest,What ifs and why nots: OFF-Playground artists,,,
Eva Koťátková,,,individual,guest artist,,OFF-Biennale Budapest,What ifs and why nots: OFF-Playground artists,,,
Ilona Németh,,,individual,guest artist,,OFF-Biennale Budapest,What ifs and why nots: OFF-Playground artists,,,
"The Randomroutines (Tamás Kaszás, Krisztián Kristóf)",,,collective,guest artist,,OFF-Biennale Budapest,What ifs and why nots: OFF-Playground artists,,,
"Recetas Urbanas (Santiago Cirugeda, Alice Attout, Carlos Vázquez Gardón, Garazi Merodio Ayarza, Ania Jaca Sanz de Arellano, Jorge Barroso (Bifu), Martina Helmke, Emilien Le Goff, Mario Bestion, Isadora Grumiaux)",,,collective,guest artist,,OFF-Biennale Budapest,What ifs and why nots: OFF-Playground artists,,,
Edible City (Maximilian Mechsner),,,,guest artist,,OFF-Biennale Budapest,What ifs and why nots: OFF-Playground Contributors and partners,,,
K&K Stauden,,,collective,guest artist,,OFF-Biennale Budapest,What ifs and why nots: OFF-Playground Contributors and partners,,,
"Kassel University (Prof. Dr.-Ing. Stefan Körner, Dr.-Ing. Florian Bellin-Harder)",,,collective,guest artist,,OFF-Biennale Budapest,What ifs and why nots: OFF-Playground Contributors and partners,,,
"LABAK (Michal Marcinov, Katarína Stanislavová) Marián Ravasz",,,collective,guest artist,,OFF-Biennale Budapest,What ifs and why nots: OFF-Playground Contributors and partners,,,
"Unterneustädter Schule, Kassel",,,collective,guest artist,,OFF-Biennale Budapest,What ifs and why nots: OFF-Playground Contributors and partners,,,
Daniel Baker,,,individual,guest artist,,OFF-Biennale Budapest,One day we shall celebrate again – RomaMoMAArtists ,,,
János Balázs,,,individual,guest artist,,OFF-Biennale Budapest,Artists,,,
Robert Gabris,,,individual,guest artist,,OFF-Biennale Budapest,Artists,,,
Sead Kazanxhiu,,,individual,guest artist,,OFF-Biennale Budapest,Artists,,,
Damian Le Bas,,,individual,guest artist,,OFF-Biennale Budapest,Artists,,,
Małgorzata Mirga-Tas,,,individual,guest artist,,OFF-Biennale Budapest,Artists,,,
Mara (Omara) Oláh,,,individual,guest artist,,OFF-Biennale Budapest,Artists,,,
Tamás Péli,,,individual,guest artist,,OFF-Biennale Budapest,Artists,,,
Selma Selman,,,individual,guest artist,,OFF-Biennale Budapest,Artists,,,
Ceija Stojka,,,individual,guest artist,,OFF-Biennale Budapest,Artists,,,
Daniel Baker,,,individual,guest artist,,OFF-Biennale Budapest,One day we shall celebrate again – RomaMoMA Co-curators,,,
Ethel Brooks,,,individual,guest artist,,OFF-Biennale Budapest,Co-curators,,,
Tímea Junghaus,,,individual,guest artist,,OFF-Biennale Budapest,Co-curators,,,
Miguel Ángel Vargas,,,individual,guest artist,,OFF-Biennale Budapest,Co-curators,,,
Eszter György,,,individual,guest artist,,OFF-Biennale Budapest,One day we shall celebrate again – RomaMoMAConsultants,,,
Angéla Kóczé,,,individual,guest artist,,OFF-Biennale Budapest,Consultants,,,
Anna Lujza Szász,,,individual,guest artist,,OFF-Biennale Budapest,Consultants,,,
Teri Szűcs,,,individual,guest artist,,OFF-Biennale Budapest,Consultants,,,
ERIAC – European Roma Institute for Arts and Culture,,,collective,guest artist,,OFF-Biennale Budapest,One day we shall celebrate again – RomaMoMAPartner,,,
East Europe Biennial Alliance,,,collective,guest artist,,OFF-Biennale Budapest,One day we shall celebrate again – RomaMoMAContributor,,,
Rita Kálmán,,,individual,guest artist,,OFF-Biennale Budapest,One the same page – OFF-Curatorial Practice,,,
Lívia Páldi,,,individual,guest artist,,OFF-Biennale Budapest,One the same page – OFF-Curatorial Practice,,,
Katarina Šević,,,individual,guest artist,,OFF-Biennale Budapest,One the same page – OFF-Curatorial Practice,,,
Wajukuu Art Project,Kenya,documenta Halle,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/wajukuu-art-project/>,,
Alexis Teyie,,,individual,guest artist,,Wajukuu Art Project,,,,
Arts Taste Curiocity (at&c Nairobi),,,collective,guest artist,,Wajukuu Art Project,,,,
Becki Waweru,,,individual,guest artist,,Wajukuu Art Project,,,,
Blackink Films,,,collective,guest artist,,Wajukuu Art Project,,,,
Charles Muthumbi Githinji,,,individual,guest artist,,Wajukuu Art Project,,,,
Daniel Ondieki,,,individual,guest artist,,Wajukuu Art Project,,,,
Dauti Kahora,,,individual,guest artist,,Wajukuu Art Project,,,,
Emmaus Kimani,,,individual,guest artist,,Wajukuu Art Project,,,,
Eric Gitonga Mong’orion,,,individual,guest artist,,Wajukuu Art Project,,,,
Fedaa Sultan,,,individual,guest artist,,Wajukuu Art Project,,,,
Freshia Njeri,,,individual,guest artist,,Wajukuu Art Project,,,,
Joseph Waweru,,,individual,guest artist,,Wajukuu Art Project,,,,
Joseph Ndung’u,,,individual,guest artist,,Wajukuu Art Project,,,,
Josphat Kimathi,,,individual,guest artist,,Wajukuu Art Project,,,,
Kimani Kinyanjui,,,individual,guest artist,,Wajukuu Art Project,,,,
Lawrence (Shabu) Mwangi,,,individual,guest artist,,Wajukuu Art Project,,,,
Lazarus Tumbuti,,,individual,guest artist,,Wajukuu Art Project,,,,
Lewis Kimone,,,individual,guest artist,,Wajukuu Art Project,,,,
Mercy Wambui,,,individual,guest artist,,Wajukuu Art Project,,,,
Ngugi Waweru,,,individual,guest artist,,Wajukuu Art Project,,,,
Paul Irungu,,,individual,guest artist,,Wajukuu Art Project,,,,
Peter Achayo,,,individual,guest artist,,Wajukuu Art Project,,,,
Rose Jepkorir,,,individual,guest artist,,Wajukuu Art Project,,,,
Sitawa Namwale,,,individual,guest artist,,Wajukuu Art Project,,,,
Victor Chege Gatugi,,,individual,guest artist,,Wajukuu Art Project,,,,
Wambui Ngombo,,,individual,guest artist,,Wajukuu Art Project,,,,
Wambui Ngombo,,,individual,guest artist,,Wajukuu Art Project,,,,
Yong Sun Gulach,,,individual,guest artist,,,,,,
Chimurenga,South Africa,na,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/chimurenga/>,,
Akin Adesokan,,,individual,guest artist,,Chimurenga,,,,
Bianca Van Rooi,,,individual,guest artist,,Chimurenga,,,,
Bogani Kona,,,individual,guest artist,,Chimurenga,,,,
Chantal Bouw,,,individual,guest artist,,Chimurenga,,,,
Graeme Arendse,,,individual,guest artist,,Chimurenga,,,,
Mamadou Diallo,,,individual,guest artist,,Chimurenga,,,,
Moses Marz,,,individual,guest artist,,Chimurenga,,,,
